Row Labels,account_create,account_update,account_witness_proxy,account_witness_vote,claim_reward_balance,comment,comment_options,custom_json,delete_comment,follow,post,resmoked,transfer,transfer_to_vesting,vote,withdraw_vesting,witness_update,Grand Total
Sep-18,1144,813,2,1286,,4761,5438,,58,7670,1646,550,412,268,10179,13,75,34315
Oct-18,1351,1124,13,2931,8800,21368,11054,23,277,19911,8348,2921,1156,300,61631,79,75,141362
Nov-18,2666,1016,30,1375,11499,21138,181,22,193,17679,7912,2958,502,1004,73122,303,97,141697
Dec-18,460,406,8,1798,9962,17980,14,1,136,6450,5120,2316,440,261,52328,227,161,98068
Jan-19,325,254,2,843,7871,15606,19,,117,3391,3898,1545,422,173,44794,151,32,79443
Feb-19,251,194,2,577,5797,11195,45,,71,2471,2718,964,424,163,36849,123,37,61881
Mar-19,338,183,,417,4717,8600,46,,63,2189,2573,939,384,128,37004,119,19,57719
Apr-19,240,148,2,706,4251,7336,6,,40,2152,2279,850,281,140,51810,92,19,70352
May-19,206,129,3,971,4895,8726,13,,61,1704,2129,839,338,129,71719,102,19,91983
Jun-19,175,110,,232,3617,5104,10,,31,1262,1845,692,222,233,75905,71,19,89528
