user,all time,,user,30 days,,user,7 days
offgrid,2231,,jackdub,166,,jackdub,60
lordoftruth,519,,offgrid,98,,lamanoverde,44
tecnosgirl,497,,lamanoverde,76,,bradleydankz,31
jackdub,428,,tecnosgirl,65,,hightimes,31
rawpride,326,,alibi,63,,offgrid,21
bongripper427,271,,lordoftruth,44,,libbzter,18
li-art,269,,prettynicevideo,42,,prettynicevideo,17
lexsmoke,261,,unnamed,37,,nosegrindstoned,15
mbj,239,,mbj,35,,unnamed,15
mjgeeks,234,,zpzn,34,,lordoftruth,14
maryjane,222,,chipanda,32,,alibi,13
kiefpreston,220,,dedos.pegajosos,32,,tecnosgirl,13
easyrider,214,,bradleydankz,31,,barge,12
libbzter,212,,hightimes,31,,the-smoke,12
bitminter,203,,li-art,31,,douglas.curtis,11
psyceratopsb,200,,joelagbo,30,,luismy,11
skylinebuds,195,,psyceratopsb,29,,mbj,11
alexander,191,,skylinebuds,29,,psyceratopsb,11
smokelord,183,,mjgeeks,28,,rawpride,11
jwolf,178,,rawpride,28,,atimkaranezi93,10
