date,account_create,account_update,account_witness_proxy,account_witness_vote,claim_reward_balance,comment,delete_comment,follow,transfer,transfer_to_vesting,vote,withdraw_vesting,witness_update
23/09/2018,64,5,,9,,1,,3,5,1,3,,5
24/09/2018,202,165,,173,,592,8,820,60,39,970,2,21
25/09/2018,246,187,2,269,,838,9,788,30,21,1288,3,6
26/09/2018,181,131,,182,,877,10,947,28,22,1285,1,17
27/09/2018,120,82,,106,,931,11,1146,67,40,1262,2,10
28/09/2018,78,49,,84,,820,6,889,107,63,1423,4,4
29/09/2018,91,65,,99,,1030,6,912,54,38,1503,1,4
30/09/2018,65,72,,68,,843,5,703,27,18,1312,,3
01/10/2018,71,47,,71,118,873,1,609,14,9,1559,2,5
02/10/2018,44,55,,67,159,910,5,666,12,12,1457,1,14
03/10/2018,47,47,,40,157,740,4,879,8,9,1329,3,4
04/10/2018,92,76,1,184,193,932,7,627,16,11,1389,2,2
05/10/2018,78,60,,303,194,977,6,676,13,7,1572,1,1
06/10/2018,48,41,1,142,195,991,7,483,22,18,1610,4,3
07/10/2018,47,53,,109,193,737,7,570,31,14,1446,,2
08/10/2018,52,26,,68,257,926,7,520,14,9,1613,2,
09/10/2018,35,37,,113,218,1010,12,788,16,12,1637,4,3
10/10/2018,55,34,,100,216,986,1,760,14,22,1808,1,9
11/10/2018,64,44,,82,254,947,7,815,28,14,1913,5,2
12/10/2018,43,31,,46,250,906,5,489,9,12,1874,1,1
13/10/2018,37,33,,143,284,1015,13,573,17,15,1767,6,3
14/10/2018,36,42,1,109,255,987,10,449,11,10,1808,3,3
15/10/2018,39,27,1,85,264,824,21,390,28,11,1764,4,2
16/10/2018,19,24,4,111,300,791,9,346,365,7,1575,4,
17/10/2018,16,24,2,80,268,872,3,507,182,12,1917,,2
18/10/2018,7,5,,5,63,171,2,90,6,4,447,1,
