Week,Range,new_user,old_user,total_user
Week 1,23/09/2018 - 29/09/2018,1096,0,1096
Week 2,30/09/2018 - 06/10/2018,479,1096,1575
Week 3,07/10/2018 - 13/10/2018,353,1575,1928
Week 4,14/10/2018 - 20/10/2018,240,1928,2168
Week 5,21/10/2018 - 27/10/2018,163,2168,2331
Week 6,28/10/2018 - 03/11/2018,266,2331,2597
Week 7,04/11/2018 - 10/11/2018,153,2597,2731
Week 8,11/11/2018 - 17/11/2018,418,2731,3149
Week 9,18/11/2018 - 24/11/2018,1773,3149,4922
Week 10,25/11/2018 - 01/12/2018,271,4922,5193
Week 11,02/12/2018 - 08/12/2018,152,5193,5328
Week 12,09/12/2018 - 15/12/2018,88,5328,5416
Week 13,16/12/2018 - 22/12/2018,116,5416,5532
